X,Y,OBJECTID,ADDRESS,NAME,ADDRID
-77.05201922405567,38.890037619760818,169,ROCK CREEK & POTOMAC PARKWAY NW,ARTS OF PEACE STATUES,294341
-77.025365946572279,38.888400528442268,170,JEFFERSON DRIVE SW,ARTHUR VINING DOWNING STATUE,294427
-76.988078191835569,38.892520313417904,171,TENNESSEE AVENUE NE,BALANCE STATUE,310951
-77.033303640409812,38.896228342536588,172,PENNSYLVANIA AVENUE NW,BALD EAGLE,294320
-77.036577801808235,38.899585951655126,173,H STREET NW,BARUCH BERNARD BENCH OF INSPIRATION,294264
-77.006072973448596,38.889914821065673,174,1ST STREET NE,BRICK CAPITOL,294369
-77.021649522581541,38.899820646591522,175,H STREET NW,CHINESE FRIENDSHIP ARCHWAY,294266
-77.021659803485321,38.893796119971462,176,INDIANA AVENUE NW,COGSWELL TEMPERANCE FOUNTAIN,294272
-77.039098268108305,38.896771733075923,177,17TH STREET NW,CORCORAN LIONS,294184
-77.040747080106712,38.892538857279646,178,VIRGINIA AVENUE NW,CORDELL HULL STATUE,310375
-77.036259535246472,38.91936558511113,179,W STREET NW,DAN`TE ALIGHIERI,294359
-77.054583068131777,38.896941006857922,180,F STREET NW,DON QUIXOTE,294449
-77.020630379219085,38.915558955497552,181,FLORIDA AVENUE NW,DUKE ELLINGTON STATUE,310369
-77.050891199518333,38.911143264444533,182,Q STREET NW,BUFFALOES STATUE (BUFFALO BRIDGE),294331
-77.038714537681557,38.896171543321984,183,STATE PLACE NW,FIRST DIVISION MONUMENT,294347
-77.040502002684974,38.893733092333989,184,C STREET NW,FOUNDERS OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MEMORIAL,310396
-77.068086664050185,38.90484379842583,185,34TH STREET NW,FRANCIS SCOTT KEY STATUE,294205
-77.00743203775491,38.874055563876183,186,N STREET SE,FRANK HOWARD STATUE,310373
-77.007518350170429,38.874033037346564,187,N STREET SE,JOSH GIBSON STATUE,310374
-77.007354133362298,38.874034939570571,188,N STREET SE,WALTER JOHNSON STATUE,310372
-77.022780656839359,38.893257746662258,189,PENNSYLVANIA AVENUE NW,FUTURE STATUE,294328
-77.0164636625626,38.892150778127821,190,CONSTITUTION AVENUE NW,GEORGE C. MEADE STATUE,294233
-77.038917414670152,38.879463632535938,191,EAST BASIN DRIVE SW,GEORGE MASON STATUE,310378
-77.045789696595833,38.899392897825052,192,H STREET NW,GEORGE WASHINGTON STATUE,310381
-77.070135212308202,38.929534702368684,193,GARFIELD STREET NW,GEORGE WASHINGTON STATUE,294260
-77.036720946819642,38.892353268650545,194,16TH STREET NW,HAUPT FOUNTAINS,294181
-77.069535684168187,38.910579552567043,195,35TH STREET NW,HEALY FATHER PATRICK,294208
-77.023224134926323,38.892306375226227,196,CONSTITUTION AVENUE NW,HERITAGE AND GAURDIANSHIP SCULPTURE,310405
-77.00957945462828,38.897482157744363,197,MASSACHUSETTS AVENUE NW,HOLODOMOR MEMORIAL,312324
-77.035625495068345,38.919500634826818,198,W STREET NW,JAMES BUCHANAN STATUE,294358
-77.040780965604114,38.894951827771195,199,E STREET NW,JANE DELANO STATUE,310385
-77.040782458621663,38.89475058027616,200,D STREET NW,RED CROSS MEN & WOMEN KILLED IN SERVICE,294239
-77.041731707095579,38.883272759678881,201,OHIO DRIVE SW,JAPANESE PAGODA,294437
-77.004393989758327,38.938066800802126,202,HAREWOOD ROAD NE,JOHN PAUL II STATUE,310384
-77.051184286355905,38.937973430121502,203,BEACH DRIVE NW,JEAN JULES JUSSERAND MEMORIAL,294212
-77.090421710239866,38.940721875744451,204,WESLEY CIRCLE NW,JOHN WESLEY STATUE,310380
-77.04178178267918,38.907180952677869,205,18TH STREET NW,JOHN WITHERSPOON STATUE,294188
-77.049660492943929,38.932520280647509,206,BEACH DRIVE NW,JULES JUSSERAND MEMORIAL,308009
-77.011673970761294,38.889262729483114,207,GARFIELD CIRCLE SW,LAMP STANDARDS,294413
-77.05351627380476,38.939937905952092,208,LINNEAN AVENUE NW,MICHAEL KOVATS DE FABRICY STATUE,310395
-77.029717390261226,38.89481535652299,209,PENNSYLVANIA AVENUE NW,MOYNIHAN PLACE,310462
-77.024741543249277,38.892323900234224,210,CONSTITUTION AVENUE NW,NATHAN HALE STATUE,294236
-77.023376260377987,38.893286726019078,211,9TH STREET NW,PAST STATUE,294166
-77.044783116167167,38.889387420819936,212,INDEPENDENCE AVENUE SW,REFLECTING POOL,304149
-76.985180327523423,38.936822348717918,213,14TH STREET NE,SAINT BERNADETTE STATUE,310382
-76.985650606147559,38.937239671788653,214,14TH STREET NE,SAINT CHRISTOPHER STATUE,310388
-76.985691735092104,38.937479928143141,215,14TH STREET NE,SAINT FRANCIS OF ASSISI STATUE,310389
-77.036328699500515,38.922691708010618,216,16TH STREET NW,SERENITY STATUE,294183
-77.015824120071883,38.892541559651171,217,3RD STREET NW,SIR  WILLIAM BLACKSTONE STATUE,294156
-77.040773191279385,38.892442458574415,218,VIRGINIA AVENUE NW,SOR JUANA INES DE LA CRUZ STATUE,310394
-77.040263875769483,38.892551456398664,219,CONSTITUTION AVENUE NW,TERESA DE LA PARRA STATUE,310402
-77.039957216163856,38.893349774670533,220,17TH STREET NW & C STREET NW,JOSÉ CECILIO DE VALLE MEMORIAL,904539
-77.059475954511072,38.904212329347523,221,30TH STREET NW,SUPREME COURT JUSTICE WILLIAM O. DOUGAS STATUE,310392
-77.031711684494354,38.896262747112615,222,PENNSYLVANIA AVENUE NW,THAI BELL,294324
-77.049913591320106,38.892736817239111,223,23RD STREET NW,THE THREE SERVICEMEN,294199
-77.018346613749372,38.893177091629774,224,PENNSYLVANIA AVENUE NW,THE SPIRIT OF HAIDA GWAII SCULPTURE,310398
-77.052399724956658,38.889248495906358,225,OHIO DRIVE SW,THE WATERGATE STEPS,304243
-77.063972120080933,38.897291172052682,226,FRANCIS SCOTT KEY BRIDGE NW,THEODORE ROOSEVELT MEMORIAL,307328
-77.001773027947863,38.872751190195764,227,WATER STREET SE,THE YARDS PARK LIGHT TOWER,311454
-77.059291424956925,38.905372428944645,228,30TH STREET NW,THOMAS SIM LEE CORNER,294204
-77.048588044135698,38.91126477656865,229,MASSACHUSETTS AVENUE NW,TOMAS GARRIGUE MASARYK STATUE,310400
-77.012917368264937,38.889473845023694,230,1ST STREET SW,ULYSSES GRANT STATUE,294403
-77.011041914648672,38.947318429405769,231,201 ALLISON ST NW,THOMPSON-HARDING MONUMENT,284159
-77.023160266775491,38.898314879356512,232,7TH STREET NW,VAQUERO STATUE,294161
-77.00329576460733,38.892324222255212,233,MARYLAND AVENUE NE,VETERANS OF FOREIGN WARS MEMORIAL,294384
-77.046983144145514,38.890547105857408,234,HENRY BACON DRIVE NW,WOMEN WHO SERVED IN VIETNAM,294271
-76.989687584932511,38.865394752058421,235,V STREET SE,WORLD'S LARGEST CHAIR,294401
-77.017552969832693,38.89505978273953,236,,ABRAHAM LINCOLN STATUE,11828
-77.005162683630559,38.890439591955356,237,1 1ST STREET NE,AUTHORITY OF LAW,294386
-77.005164915184338,38.890805574219783,238,1 1ST STREET NE,CONTEMPLATION OF JUSTICE,294448
-77.069480612578559,38.953578588828925,239,,PETER MUHLENBERG MEMORIAL,308543
